Requirement,Percentage
python,54
postgresql,40
git,38
sql,37
docker,34
api,24
linux,24
django,20
javascript,20
fastapi,17
redis,17
rest api,17
ci,15
backend,15
cd,14
html,14
css,13
flask,13
rest,12
gitlab,12
web,11
mysql,11
http,10
jira,10
mongodb,10
orm,10
middle,9
rabbitmq,9
typescript,9
celery,9
kubernetes,9
django framework,8
kafka,8
sqlalchemy,8
js,8
react,8
go,7
crm,7
frontend,7
php,7
golang,7
confluence,6
java,6
devops,6
excel,6
agile,5
bash,5
clickhouse,5
pytest,5
asyncio,5
github,5
nginx,5
nosql,5
pandas,5
qa,5
