Name,Salary
Middle Python Engineer,2262
Python Developer (Django/DRF/Grafene),4350
Python-разработчик / Наставник на курс,15225
Репетитор по направлению Python (удалённо),45000
Python разработчик junior,45000
Удалённый менеджер (подработка),47850
"Удаленный Консультант - администратор чата (набор текста, подработка)",52200
Преподаватель по Linux Администрированию,52500
"Удалённый менеджер поддержки клиентов (подработка, удаленно)",55000
Удалённый менеджер (подработка),55000
Junior Backend-разработчик на Node.Js,60000
Специалист дистанционной обработки данных / Консультант банка (удаленно),61000
Программист Python,65000
Удалённый специалист ввода информации (подработка),66000
Удалённый специалист ввода информации (подработка),66000
Наставник по Python (Junior),69600
Наставник по Python (Junior),69600
Python-разработчик (Junior),70000
Удалённый специалист ввода информации (подработка),70000
Junior Backend Developer TypeScript (node.js),77000
Python программист (Наставник онлайн-курса по Python),80000
Младший специалист отдела разработки (Python) / Специалист по парсингу данных,80000
Инженер по автоматизации / DevOps инженер,82650
Программист Python,87000
Full-stack разработчик Python,88000
Python Backend Developer,88000
Автор работ по программированию Python,90000
Backend-разработчик,90000
Middle Python Developer,90000
Python тестировщик,95700
Back-end разработчик,99000
Junior/Junior+ Golang Разработчик (Junior/Junior+ Go Backend Developer),100000
Тестировщик ПО на Python (QA Engineer),104400
Python Developer,113100
Врач функциональной диагностики,117711
Middle Python-разработчик (Инженер-программист 2 категории),124410
Python-разработчик в R&D отдел,125000
Python-разработчик систем сбора,125000
Backend - разработчик Python / Backend developer Python,125000
Python - разработчик,125000
Разработчик Python,126150
Python разработчик,132000
Full Stack Разработчик в проект method.do,135000
Разработчик баз данных (PostgreSQL),139200
Backend разработчик (Python),143550
Администратор Linux,150000
Администратор Linux,150000
Backend разработчик Python+Django (удаленно),150000
"Инженер-наставник по направлению ""Python""",152250
"Инженер-наставник по направлению ""Python""",152250
Разработчик Python,154000
Full-stack разработчик,160000
Python Developer (Middle),165000
Программист-разработчик,165000
Разработчик Python,165000
Python-разработчик (middle),165000
Python Backend Developer | Python разработчик (Middle/Remote),169650
Python developer,175000
Разработчик Odoo (Python),175000
Python разработчик (аналитик),200000
Middle Back-end разработчик мобильного приложения,200000
Middle Python-разработчик,200000
Middle Python разработчик,210000
Разработчик Python Middle/Middle +,215000
Python разработчик,217500
Middle Backend Python/Django разработчик,217500
Backend разработчик/преподаватель/ментор в оффлайн школу программирования,225000
Middle Python Developer,225000
Middle/Middle+ Python-разработчик,225000
Разработчик облачных продуктов,230000
Python developer,250000
Back-end разработчик Python,250000
Программист Python,261000
Программист Python,300000
