Vacancy count analized,68
Lower border normalize salary,50000
Upper border normalize salary,200000
Average junior salary (1-3 year exp),118726
**************************************
Name,Salary
Backend-разработчик на языке Python,52200
Python-разработчик,55000
Тестировщик ПО (Python),56550
Backend разработчик (Python),57420
Разработчик Python,60000
Python-разработчик,60000
Junior Django developer,65250
Python разработчик (Специалист по нейросетям)/чат-боты/API,65250
Junior Python developer,70000
Junior JavaScript разработчик,70000
Python-разработчик/тестировщик,70000
Python-разработчик,71775
Младший специалист отдела разработки (Python) / Специалист по парсингу данных,77000
Backend-разработчик,77000
Программист Python junior,78300
Junior Full-Stack Node.js Разработчик,80000
Junior Python Backend Developer,80000
Junior backend developer,80000
Backend разработчик Python,85000
Python разработчик (офис),85000
Python-разработчик (Junior-Middle) по работе с данными в прайc-агрегатор good.sale,87000
Junior Python Developer,87000
Python разработчик,87000
Автор студенческих работ по Программированию (удалённо),88000
Разработчик Python,95700
Python Middle Developer,95700
Младший backend-разработчик,100000
NodeJS Backend Developer,100000
Junior Python разработчик (удаленно),100000
Python-разработчик,100000
"Автор студенческих работ (IT, программирование)",110000
Python-разработчик (Python-программист)(01050-1),110000
Python developer,110000
Backend-разработчик,110000
Backend-разработчик middle,114840
Python developer,115000
Разработчик Python,120000
Junior Golang разработчик,120000
Python Backend Developer (Middle),125000
Python Backend Developer,130000
Разработчик (Backend developer / Python),132000
Junior Python разработчик,137500
Backend-разработчик,139200
Middle Python-разработчик (Инженер-программист 2 категории)(01050-1),143000
FullStack Developer,143000
Backend разработчик,143550
Python-разработчик,143550
Программист,147900
Middle Fullstack Developer | Разработчик ПО 2-ой категории,150000
Middle Python backend developer (FastAPI),150000
Backend Middle Developer / Python разработчик,150000
Разработчик (Python/JavaScript),150000
Backend Python,150000
Программист Python(Middle),150000
Middle Python разработчик (удаленно),155000
Программист Python (Отдел разработки и интеграции CRM-систем),162690
Python Developer,165000
Backend-разработчик Go / Golang,165000
Junior/Middle Python Developer (Backend) remote/удаленно,170000
Backend Developer Golang,174000
Программист Python,176000
Go-разработчик,185000
Middle Python-разработчик,195000
Python-разработчик,195000
Middle Python Developer,200000
Python-разработчик Middle,200000
Python разработчик (middle),200000
Разработчик чат-ботов на Python,200000
